polymer_full,polymer
ACRYLIC COPOLYMER WITH STYRENE,ABS
Acrylonitrile Butadiene Styrene 1. Orange LEGO,ABS
"ALPEX CK-450, CYCLIZED RUBBER",Rubber
BRIJ (R) 78,Rubber
Brij L4 362,Rubber
Cellulose Acetate 4. White Fiber,Cellulose
CELLULOSE PROPIONATE,Cellulose
COLOR MASTERBATCH POLY(STYRENE-CO-ACRYLONITRILE) + 50% WHITE PIGMENT,Other
COLOR MASTERBATCH POLY[ETHYLENE-CO-(VINYL ACETATE)] + 45% YELLOW PIGMENT #3,Other
COLOR MASTERBATCH POLY[ETHYLENE-CO-(VINYL ACETATE)] + 45% YELLOW PIGMENT #4,Other
COLOR MASTERBATCH POLYETHYLENE + 75% WHITE PIGMENT,Other
COLOR MASTERBATCH POLYPROPYLENE + 70% WHITE PIGMENT,Other
COLOR MASTERBATCH POLYSTYRENE + 50% WHITE PIGMENT,Other
CP 310 W,Rubber
DAPLEN KSR 4525,Other
DOW CORNING 67,Silicon
"DUTRAL PMX 9705, COPOLYMER EPDM TYPE",Rubber
"DUTRAL PMX 9710, COPOLYMER EPDM TYPE",Rubber
EASTOTACK H 100 R,Other
EMBLAR OV,Other
Epichlorohydrin/Ethylene Oxide Copolymer,Other
ESTABEX 2349,Other
Ethylene/Propylene Copolymer,Other
Ethylene/Vinyl Acetate Copolymer 75:25,Other
GLUE - OFFICE WHITE,Other
HYDROXYETHYLCELLULOSE,Cellulose
HYPROMELLOSE (4000),Other
JEFFAMINE M-2070,Other
"KELTAN 314, COPOLYMER EPDM TYPE",Rubber
LAPONITE (R) RD,Other
"LEVAFLEX EP-390, POLYPROPYLENE BASED",Polypropylene
MACRYNAL SM 51ON 60 LG,Other
"NYLON 6,10",Polyamide
"NYLON 6,6",Polyamide
"NYLON 6,9",Polyamide
OLEFIN FILM,Other
PARALOID(TM)B 72,Other
PERDEUTEROPOLYETHYLENE,Other
"Poly(1,4-butylene Terephthalate)",Other
Poly(4-Methyl-1-Pentene),Other
Poly(acrylonitrile-co-methyl acrylate),Other
Poly(butylene terephthalate),Silicon
Poly(dimethylsiloxane-co-ethylene oxide) AB block copolymer 18:82,Silicon
POLY(ETHYLENE TEREPHTHALATE),PET
"POLY(ETHYLENE:PROPYLENE:DIENE) (50% ETHYLENE, 4% DIENE)",Other
"POLY(ETHYLENE:PROPYLENE:DIENE) (50% ETHYLENE, 8% DIENE)",Other
"POLY(ETHYLENE:PROPYLENE:DIENE) (70% ETHYLENE, 4% DIENE)",Other
Poly(isobutylene-co-isoprene),Other
POLY(M-PHENYLENE ISOPTHALAMIDE)/(VISCOSE),Other
Poly(methyl methacrylate) 15000,Other
POLY(NEOPENTYLENE TEREPHTHALATE),Other
Poly(p-phenylene ether-sulphone),Other
POLY(STYRENE:N-BUTYL METHACRYLATE),Other
POLY(TETRAFLUOROETHYLENE),Other
POLY(TRIMETHYLPENTYLEN ADIPATE),Other
POLY[(ACRYLIC ACID):(BUTYL ACRYLATE):(METHACRYL AMIDE):STYRENE],ABS
POLY[(DIVINYL BENZENE):STYRENE],Other
Polyacetal,Other
POLYACETAL,Other
POLYALKYLBENZENE,Other
Polyamide 1. White Cable Tie,Polyamide
Polyamide 2. White Pellet,Polyamide
POLYDIMETHYLSILOXANE,Silicon
"Polydimethylsiloxane, dimethylamine terminated",Silicon
Polyester 1. White Fiber,Polyester
Polyester 2. Yellow Fiber,Polyester
Polyester 4. White Fiber,Polyester
Polyethylene 10. Grey Grocery Bag,Polyethylene
Polyethylene 25. White Microbead,Polyethylene
Polyethylene 6. White Microsphere,Polyethylene
POLYETHYLENE GLYCOL 200,Other
POLYETHYLENE GLYCOL 400,Other
Polyethylene Terephthalate 13. Clear Plastic Sheet,PET
Polyethylene Terephthalate 8. Clear Juice Bottle,PET
Polyethylene Terephthalate 9. White Shampoo Bottle,PET
Polyethylene Vinyl Acetate 8. Green Flip Flop,Other
Polyethylene Vinyl Acetate 9. Pink Flip Flop,Other
POLYETHYLENEIMINE,Other
Polymethylphenylsiloxane,Silicon
POLYOXYETHYLENE(10) OCTYLPHENYL ETHER,Other
POLYOXYETHYLENE(20) SORBITAN MONOOLEATE,Other
POLYOXYETHYLENE(20) SORBITAN MONOPALMITATE,Other
POLYPOX R14,Other
POLYPROPYLENE + YELLOW PIGMENT #2,Polypropylene
Polypropylene 10. Black Battery Holder,Polypropylene
Polypropylene 15. Clear Cling Wrap,Polypropylene
Polypropylene 2. White Straw,Polypropylene
Polypropylene 5. White Food Wrapper,Polypropylene
Polypropylene 7. White Toothbrush Handle,Polypropylene
Polypropylene 8. White Bottle Cap,Polypropylene
Polypropylene Isotactic Chlorinated 32% Chlorine,Polypropylene
POLYPROPYLENE WITH 20% TALC,Polypropylene
POLYPROPYLENE WITH RUBBER CONTENT,Polypropylene
POLYPROPYLENE-GRAFT-MALEIC ANHYDRIDE,Polypropylene
"POLYPROPYLENE+VISTALON 404, 1:1",Polypropylene
POLYSORBATE 80 STANDARD,Other
Polystyrene 1. Brown Coffee Cup Lid,Polystyrene
Polystyrene 11. Orange Printer Cartridge,Polystyrene
Polystyrene 13. Pink Spoon,Polystyrene
Polystyrene 14. Clear Refrigerator Drawer,Polystyrene
Polystyrene 15. Purple LEGO,Polystyrene
Polystyrene 3. White Foam Container,Polystyrene
Polystyrene 4. White Microsphere,Polystyrene
Polystyrene 5. Orange Microsphere,Polystyrene
POLYSTYRENE HIGH IMPACT,Polystyrene
Polyurethane 6. Black Phone Case,Other
Polyvinyl Chloride 10. White Microsphere,PVC
Polyvinyl Chloride 13. Grey Cable Cover,PVC
Polyvinyl Chloride 2. Yellow Raincoat,PVC
Polyvinyl Chloride 21. Green Slinky Toy,PVC
Polyvinyl Chloride 26. White Railcard,PVC
Polyvinyl Chloride 5. Clear Cling Wrap,PVC
POLYVINYLFORMAL,Other
REGALITE R 7100,Other
RESIN SK,Other
Styrene/Acrylonitrile Copolymer 65:35,ABS
TEFLON,Teflon
VIACRYL SC 166,Other
Vinyl Alcohol/Vinyl Butyral Copolymer,Other
"VISTALON 6505, COPOLYMER EPDM TYPE",Other
"VISTALON 8510, COPOLYMER EPDM TYPE",Other
"VISTALON 9500, COPOLYMER EPDM TYPE",Other